,,CHIME2021
weight,0,0.11526507312252966
weight,1,0.21985714624505925
weight,2,0.6648513952569169
loc,0,-41.55206357841803
loc,1,-13.799291046815478
loc,2,-1.241569713252179
scale,0,17.249957701386446
scale,1,7.821563123346383
scale,2,3.67731316319944
